Half pore width (A),Cumulative Pore Volume (cc/g),Cumulative Surface Area (m2/g),dV(r) (cc/A/g),dS(r) (m2/A/g)
214.905,9.57E-01,1.97E+03,1.96E-03,1.82E-01
222.25,9.70E-01,1.97E+03,1.85E-03,1.66E-01
229.8,9.86E-01,1.97E+03,2.12E-03,1.84E-01
237.545,1.00E+00,1.97E+03,1.90E-03,1.60E-01
245.49,1.01E+00,1.97E+03,9.34E-04,7.61E-02
253.635,1.02E+00,1.97E+03,1.20E-03,9.48E-02
261.975,1.03E+00,1.97E+03,1.10E-03,8.41E-02
270.515,1.04E+00,1.98E+03,9.94E-04,7.35E-02
279.255,1.05E+00,1.98E+03,1.09E-03,7.80E-02
288.19,1.05E+00,1.98E+03,8.28E-04,5.75E-02
297.325,1.06E+00,1.98E+03,9.42E-04,6.33E-02
306.66,1.07E+00,1.98E+03,1.05E-03,6.82E-02
316.195,1.08E+00,1.98E+03,6.84E-04,4.33E-02
325.925,1.08E+00,1.98E+03,6.80E-04,4.17E-02
335.855,1.09E+00,1.98E+03,7.87E-04,4.69E-02
345.985,1.10E+00,1.98E+03,6.78E-04,3.92E-02
356.315,1.11E+00,1.98E+03,6.78E-04,3.81E-02
366.84,1.11E+00,1.98E+03,5.48E-04,2.99E-02
377.565,1.12E+00,1.98E+03,7.06E-04,3.74E-02
